"codigo","municipio","incidencia","habitantes"
34121515002,"Ames",132.104551316328,31793
34122727051,"Ribadeo",0,9854
34123636009,"A Cañiza",0,5180
34123636902,"Cotobade",0,5699
34123636902,"Cerdedo",0,5699
34123636027,"Meaño",0,5272
34121515021,"Carral",218.476903870162,6408
34121515082,"Teo",226.061682544809,18579
34122727019,"Foz",0,9980
34123232069,"Ribadavia",278.662420382166,5024
34123636008,"Cangas",158.239770929094,26542
34123636055,"Tui",167.654631459194,16701
34121515068,"Ponteceso",0,5502
34123636024,"Lalín",138.490454050846,20218
34121515048,"Miño",0,6200
34121515051,"Mugardos",0,5245
34123636046,"Ribadumia",0,5052
34123636021,"Gondomar",195.996080078398,14286
34121515043,"Malpica de Bergantiños",259.692079391579,5391
34123636038,"Pontevedra",231.244504932012,83029
34123636056,"Valga",0,5869
34123232019,"O Carballiño",299.422542239966,14027
34121515062,"Outes",0,6282
34123636048,"O Rosal",0,6234
34122727057,"Sarria",0,13330
34123636052,"Silleda",0,8687
34121515061,"Ortigueira",0,5671
34123232085,"Verín",306.055527217081,13723
34121515013,"Brión",178.639785632257,7837
34123232075,"San Cibrao das Viñas",0,5405
34121515016,"Camariñas",0,5272
34121515017,"Cambre",56.7997403440441,24648
34123232009,"O Barco de Valdeorras",313.549832026876,13395
34123636033,"Mos",92.8505106778087,15078
34122727902,"Burela",0,9588
34121515011,"Boiro",74.3178681388682,18838
34121515009,"Betanzos",0,12959
34121515008,"Bergondo",0,6633
34122727016,"Chantada",0,8192
34121515019,"Carballo",89.3170436058566,31349
34121515059,"Ordes",331.387091683762,12674
34121515087,"Valdoviño",0,6563
34123636029,"Moaña",0,19399
34123232032,"Xinzo de Limia",288.214101904272,9715
34121515065,"Padrón",0,8384
34121515067,"A Pobra do Caramiñal",0,9338
34122727031,"Monforte de Lemos",151.90148103944,18433
34121515072,"Rianxo",0,11033
34121515004,"Ares",0,5732
34121515041,"A Laracha",370.141887723627,11347
34121515077,"Santa Comba",0,9426
34121515089,"Vedra",277.998411437649,5036
34123636005,"Caldas de Reis",143.076136944303,9785
34123636043,"Ponte Caldelas",0,5494
34123636035,"Nigrán",158.415841584158,17675
34121515001,"Abegondo",0,5406
34122727066,"Viveiro",90.5211431527221,15466
34123636004,"Bueu",0,12009
34123636039,"O Porriño",141.072148327287,19848
34122727010,"Castro de Rei",0,5052
34123636057,"Vigo",112.403678173373,295364
34123636006,"Cambados",101.86263096624,13744
34121515036,"Ferrol",230.076439869825,66065
34121515053,"Muros",163.627863487611,8556
34123232008,"Barbadás",380.538189725469,11037
34122727039,"Outeiro de Rei",0,5151
34121515006,"Arzúa",0,6041
34121515902,"Oza dos Ríos",0,5101
34121515069,"Pontedeume",0,7777
34123636003,"Baiona",0,12122
34122727028,"Lugo",227.929504660344,98276
34121515005,"Arteixo",130.18411753766,32262
34123636060,"Vilagarcía de Arousa",112.131567706108,37456
34123232001,"Allariz",226.244343891403,6188
34121515056,"Negreira",0,6827
34123636050,"Salvaterra de Miño",427.742132600061,9819
34123636041,"Poio",245.872848612575,17082
34121515075,"Sada",0,15841
34123636053,"Soutomaior",189.317106152806,7395
34121515030,"A Coruña",112.327083443558,245711
34121515075,"Sada",0,15841
34121515023,"Cee",0,7546
34123232024,"Celanova",0,5649
34123636061,"Vilanova de Arousa",135.89594253543,10302
34121515058,"Oleiros",116.424116424116,36075
34123636059,"Vila de Cruces",266.869996187571,5246
34121515060,"Oroso",186.666666666667,7500
34121515035,"Fene",324.474660074166,12944
34121515092,"Vimianzo",198.38458268386,7057
34121515078,"Santiago de Compostela",230.310507916924,97260
34123636023,"A Guarda",0,9977
34121515029,"Coristanco",230.490615739216,6074
34123636017,"A Estrada",205.08813906929,20479
34123636054,"Tomiño",103.711386028595,13499
34121515055,"Neda",275.64481197086,5079
34122727065,"Vilalba",0,14072
34121515070,"As Pontes de García Rodríguez",0,10138
34121515073,"Ribeira",52.0717101837387,26886
34122727022,"Guitiriz",0,5484
34123636045,"Redondela",95.831336847149,29218
34123232058,"O Pereiro de Aguiar",223.107569721116,6275
34121515054,"Narón",107.471852610031,39080
34123636049,"Salceda de Caselas",152.771715408119,9164
34123636042,"Ponteareas",61.1968352493771,22877
34121515031,"Culleredo",92.0992039997369,30402
34121515071,"Porto do Son",152.655108494166,9171
34123636026,"Marín",115.136313170772,24319
34123636058,"Vilaboa",238.338440585632,5874
34123232054,"Ourense",228.065340720116,105233
34123636022,"O Grove",0,10650
34121515057,"Noia",98.1560681483559,14263
34121515024,"Cerceda",0,5001
34123636051,"Sanxenxo",80.7055975096558,17347
34121515902,"Cesuras",0,5101
34121515022,"Cedeira",0,6640
34121515046,"Melide",0,7406
